---------- processing video for epoch 6 ----------
performing inference...
pred: 1.34 deg. took: 62.75 ms | cam=2.07 prep=3.02 pred=57.66 frequency(45)=1200000000
 
pred: 1.61 deg. took: 62.39 ms | cam=2.00 prep=3.12 pred=57.28 frequency(45)=1200000000
 
pred: 0.79 deg. took: 62.57 ms | cam=1.98 prep=3.12 pred=57.46 frequency(45)=1200000000
 
pred: 0.21 deg. took: 62.68 ms | cam=2.10 prep=3.06 pred=57.52 frequency(45)=1200000000
 
pred: 1.02 deg. took: 62.51 ms | cam=2.01 prep=3.01 pred=57.49 frequency(45)=1200000000
 
pred: 1.83 deg. took: 62.56 ms | cam=2.08 prep=3.05 pred=57.42 frequency(45)=1200002000
 
pred: 1.55 deg. took: 62.78 ms | cam=1.99 prep=3.02 pred=57.77 frequency(45)=1200002000
 
pred: 0.92 deg. took: 62.34 ms | cam=1.99 prep=3.17 pred=57.18 frequency(45)=1200000000
 
pred: 1.37 deg. took: 62.67 ms | cam=2.02 prep=3.11 pred=57.55 frequency(45)=1200000000
 
pred: 0.90 deg. took: 62.46 ms | cam=2.10 prep=3.05 pred=57.32 frequency(45)=1200002000
 
pred: 1.04 deg. took: 62.52 ms | cam=2.07 prep=3.01 pred=57.44 frequency(45)=1200002000
 
pred: 1.00 deg. took: 62.44 ms | cam=1.98 prep=3.07 pred=57.39 frequency(45)=1200000000
 
pred: 0.76 deg. took: 62.97 ms | cam=2.00 prep=3.03 pred=57.94 frequency(45)=1200000000
 
pred: 0.96 deg. took: 62.88 ms | cam=2.03 prep=3.16 pred=57.69 frequency(45)=1200000000
 
pred: 0.50 deg. took: 62.78 ms | cam=2.13 prep=3.02 pred=57.63 frequency(45)=1200000000
 
pred: 0.24 deg. took: 62.29 ms | cam=2.06 prep=3.06 pred=57.16 frequency(45)=1200000000
 
pred: 0.41 deg. took: 62.63 ms | cam=2.02 prep=3.01 pred=57.60 frequency(45)=1200000000
 
pred: 0.91 deg. took: 62.42 ms | cam=1.96 prep=3.01 pred=57.45 frequency(45)=1200000000
 
pred: 1.25 deg. took: 62.91 ms | cam=2.07 prep=3.11 pred=57.73 frequency(45)=1200000000
 
pred: 1.85 deg. took: 62.20 ms | cam=2.01 prep=3.11 pred=57.07 frequency(45)=1200000000
 
pred: 2.23 deg. took: 62.40 ms | cam=2.07 prep=3.05 pred=57.28 frequency(45)=1200000000
 
pred: 3.23 deg. took: 62.56 ms | cam=2.10 prep=3.01 pred=57.45 frequency(45)=1200002000
 
pred: 4.16 deg. took: 62.33 ms | cam=1.99 prep=3.06 pred=57.28 frequency(45)=1200000000
 
pred: 14.76 deg. took: 62.34 ms | cam=2.04 prep=3.01 pred=57.29 frequency(45)=1200000000
 
pred: 23.90 deg. took: 62.39 ms | cam=2.00 prep=3.06 pred=57.34 frequency(45)=1200002000
 
pred: 9.24 deg. took: 62.33 ms | cam=2.03 prep=3.11 pred=57.18 frequency(45)=1200000000
 
pred: 4.38 deg. took: 62.34 ms | cam=1.98 prep=3.15 pred=57.22 frequency(45)=1200000000
 
pred: 3.57 deg. took: 62.27 ms | cam=2.09 prep=3.00 pred=57.17 frequency(45)=1200000000
 
pred: 2.95 deg. took: 62.18 ms | cam=2.08 prep=3.01 pred=57.09 frequency(45)=1200000000
 
pred: 2.93 deg. took: 62.17 ms | cam=2.01 prep=3.05 pred=57.11 frequency(45)=1200000000
 
pred: 2.01 deg. took: 62.73 ms | cam=2.01 prep=3.02 pred=57.70 frequency(45)=1200000000
 
pred: 2.30 deg. took: 62.36 ms | cam=1.97 prep=3.14 pred=57.26 frequency(45)=1200000000
 
pred: 2.41 deg. took: 62.17 ms | cam=2.02 prep=3.10 pred=57.04 frequency(45)=1200002000
 
pred: 3.45 deg. took: 62.50 ms | cam=2.09 prep=3.08 pred=57.34 frequency(45)=1200000000
 
pred: 4.73 deg. took: 62.36 ms | cam=2.19 prep=3.02 pred=57.16 frequency(45)=1200000000
 
pred: 10.21 deg. took: 62.15 ms | cam=1.98 prep=3.01 pred=57.16 frequency(45)=1200000000
 
pred: 4.45 deg. took: 62.12 ms | cam=1.94 prep=3.05 pred=57.13 frequency(45)=1200000000
 
pred: 4.21 deg. took: 62.42 ms | cam=2.02 prep=3.00 pred=57.40 frequency(45)=1200000000
 
pred: 3.73 deg. took: 62.32 ms | cam=2.02 prep=3.14 pred=57.16 frequency(45)=1200000000
 
pred: 3.99 deg. took: 62.13 ms | cam=2.00 prep=3.11 pred=57.02 frequency(45)=1200002000
 
